date,views,hours,pct_viewed,subs_gained,subs_per_1k,likes,comments,shares
2026-09-09,35442,96.9,69.4,82,2.31,1001,20,14
2026-09-10,36375,100.8,69.1,86,2.36,1026,20,15
2026-09-11,36971,103.0,68.7,86,2.33,1046,22,16
2026-09-12,38277,109.3,67.9,87,2.27,1080,22,17
2026-09-13,39887,116.2,67.2,91,2.28,1113,25,18
2026-09-14,41929,124.9,68.5,95,2.27,1159,27,18
2026-09-15,44108,132.1,68.1,97,2.20,1202,29,18
2026-09-16,44867,138.2,69.0,97,2.16,1221,29,18
2026-09-17,43611,139.8,67.9,86,1.97,1177,30,16
2026-09-18,40561,131.9,66.3,73,1.80,1103,30,15
2026-09-19,37897,127.8,65.7,70,1.85,1059,29,12
2026-09-20,36242,128.7,65.2,65,1.79,1017,30,12
2026-09-21,35538,129.9,64.9,63,1.77,978,27,12
2026-09-22,35020,129.5,63.6,62,1.77,956,28,13
2026-09-23,34265,129.3,63.1,65,1.90,943,30,13
2026-09-24,34063,129.3,62.5,65,1.91,940,30,13
2026-09-25,34147,132.2,62.3,63,1.84,936,28,13
